,HCPID,LL.m1,LL.m2,LL.diff,BestModel
104,150524_fnca,-1.8378792785546096,-1.841530014194702,0.0036507356400923285,model1
87,150625_fnca,-1.893731704907205,-1.8401397944999576,-0.053591910407247534,model2
130,150726_fnca,-2.124736859712572,-1.9646469261142403,-0.1600899335983319,model2
132,151223_fnca,-2.191458070082665,-2.076766825046198,-0.11469124503646677,model2
176,151526_fnca,-1.9534306182627743,-1.9830662807243429,0.029635662461568568,model1
96,151627_fnca,-2.1291368846065355,-1.9719920123374133,-0.15714487226912222,model2
102,151728_fnca,-1.8392440148639608,-1.8380951416373708,-0.0011488732265900747,model2
90,152831_fnca,-1.9034662214273328,-1.924884883908302,0.02141866248096913,model1
32,153025_fnca,-1.8439092305880016,-1.8521180847470569,0.008208854159055257,model1
64,153429_fnca,-1.9035396570497392,-1.931797296713341,0.02825763966360184,model1
117,153833_fnca,-1.8731869476811407,-1.83974448195668,-0.033442465724460746,model2
159,154431_fnca,-1.839655997186919,-1.8384649124363317,-0.001191084750587379,model2
17,154734_fnca,-1.8381379793366432,-1.8386593837610967,0.0005214044244534755,model1
191,154835_fnca,-1.9477717406736483,-1.85104064463584,-0.09673109603780827,model2
5,154936_fnca,-1.8587767120011611,-1.8491175108988265,-0.009659201102334647,model2
50,155231_fnca,-1.92476484416948,-1.953887643243502,0.029122799074021932,model1
170,155635_fnca,-1.8840783157601064,-1.874721709656996,-0.00935660610311051,model2
166,156233_fnca,-2.027331027295625,-1.8858121356019304,-0.1415188916936947,model2
141,156637_fnca,-1.837912981836072,-1.8428013046367444,0.004888322800672418,model1
84,157336_fnca,-1.9205308856115184,-1.966996798741645,0.0464659131301266,model1
68,157437_fnca,-1.838148608199735,-1.8388836149919092,0.0007350067921743086,model1
54,158035_fnca,-1.8438972868145167,-1.8591841571651444,0.015286870350627701,model1
112,158136_fnca,-1.8380669028067589,-1.8415153015475707,0.00344839874081182,model1
189,158540_fnca,-1.895435106423573,-1.8397893143559445,-0.05564579206762854,model2
110,159138_fnca,-1.9727914255241863,-1.9162155276146948,-0.05657589790949147,model2
3,159239_fnca,-2.876709379368481,-2.0723257143925937,-0.8043836649758873,model2
169,159340_fnca,-1.9514514252702104,-1.879756999854068,-0.07169442541614246,model2
