,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
170,Punishment,0.3,0.05,1,0.5488,0.4978120262215047,130316_fnca,0.28,0.5399628491104304,0.3448249188303266,-1.0647184724143994
280,Reward,0.3,0.05,1,0.5,0.5002001200800564,130316_fnca,0.76,-0.5197919583833512,0.34853020774766286,-1.0540303732046725
171,Punishment,0.3,0.1,1,0.508,0.5001360903665217,130316_fnca,0.28,0.4558759193580922,0.3595687220055507,-1.0228499601299654
281,Reward,0.3,0.1,1,0.3912,0.4882143408320525,130316_fnca,0.76,-0.7554059132541306,0.299914579432914,-1.2042575800943263
172,Punishment,0.3,0.15,1,0.388,0.4874896069594867,130316_fnca,0.28,0.22154318463034522,0.38927111494662897,-0.9434792245327503
282,Reward,0.3,0.15,1,0.3064,0.461182384044623,130316_fnca,0.76,-0.983558816843513,0.24594864960067445,-1.4026325062999783
173,Punishment,0.3,0.2,1,0.2648,0.4414032503998707,130316_fnca,0.28,-0.034435632239296486,0.39870581508441627,-0.9195314395885327
283,Reward,0.3,0.2,1,0.1864,0.3895849858104588,130316_fnca,0.76,-1.4723360008516044,0.13495347589949933,-2.0028251829065202
174,Punishment,0.3,0.25,1,0.188,0.3908685489753074,130316_fnca,0.28,-0.23537324822164704,0.38804311818368487,-0.9466388161938772
284,Reward,0.3,0.25,1,0.1392,0.34629365491783,130316_fnca,0.76,-1.7926981658018137,0.07999254068929898,-2.5258218900392664
175,Punishment,0.3,0.3,1,0.156,0.3630005723582626,130316_fnca,0.28,-0.34159725753164516,0.3763322521741319,-0.9772828763812431
285,Reward,0.3,0.3,1,0.132,0.3386262455678086,130316_fnca,0.76,-1.8545520561968531,0.07145980195676023,-2.638620197776661
176,Punishment,0.3,0.35,1,0.128,0.3342235244434976,130316_fnca,0.28,-0.45478546207388965,0.3597472989183203,-1.0223534414615532
286,Reward,0.3,0.35,1,0.1312,0.3377540854790749,130316_fnca,0.76,-1.8617095307910243,0.07051571249521187,-2.6519197217237407
177,Punishment,0.3,0.4,1,0.1184,0.3232104763302199,130316_fnca,0.28,-0.49998379333130105,0.3520681796326777,-1.0439304300016514
287,Reward,0.3,0.4,1,0.1248,0.3306242730471286,130316_fnca,0.76,-1.9212140540856655,0.06300946952201095,-2.764470254012812
178,Punishment,0.3,0.45,1,0.1112,0.3145054704655583,130316_fnca,0.28,-0.5367156245331046,0.34542823734716527,-1.0629703640136527
288,Reward,0.3,0.45,1,0.1192,0.3241533901353941,130316_fnca,0.76,-1.9768418887500985,0.05653527723880648,-2.8728904597632012
179,Punishment,0.3,0.5,1,0.0984,0.2979739431168793,130316_fnca,0.28,-0.6094492629134624,0.3313259200834606,-1.104652735237554
289,Reward,0.3,0.5,1,0.1104,0.3135131135660871,130316_fnca,0.76,-2.0720026432421217,0.0466288416392053,-3.065536010005842
180,Punishment,0.35,0.05,1,0.5376,0.498783789045486,130316_fnca,0.28,0.5164562394719456,0.34913309904938616,-1.0523020568494243
290,Reward,0.35,0.05,1,0.5024,0.5001943577414811,130316_fnca,0.76,-0.5149998115995087,0.349395438649022,-1.0515509361784374
181,Punishment,0.35,0.1,1,0.5128,0.5000361876416154,130316_fnca,0.28,0.4655663045068486,0.35796698226286305,-1.0273145251507545
291,Reward,0.35,0.1,1,0.4392,0.4964882279051123,130316_fnca,0.76,-0.646138180060355,0.3237816833684076,-1.1276858070705265
182,Punishment,0.35,0.15,1,0.42,0.4937560491060571,130316_fnca,0.28,0.28354083003837477,0.3832237585736978,-0.9591362343540979
292,Reward,0.35,0.15,1,0.3336,0.471687429581264,130316_fnca,0.76,-0.9039884746950593,0.26512970646173145,-1.3275361143954227
183,Punishment,0.35,0.2,1,0.2736,0.4459844859738776,130316_fnca,0.28,-0.014350274956368954,0.3989012053461603,-0.9190414984003343
293,Reward,0.35,0.2,1,0.2048,0.4037169180006009,130316_fnca,0.76,-1.3752210404003273,0.15496515586822474,-1.864554988184552
184,Punishment,0.35,0.25,1,0.212,0.4088884344187801,130316_fnca,0.28,-0.1663045326695521,0.39346343733513456,-0.9327671319978916
294,Reward,0.35,0.25,1,0.1528,0.3599386123267618,130316_fnca,0.76,-1.6869543283363213,0.09614998276957072,-2.341845986150997
185,Punishment,0.35,0.3,1,0.152,0.3591645853358698,130316_fnca,0.28,-0.356382575638135,0.3743954065388366,-0.9824428033139082
295,Reward,0.35,0.3,1,0.1352,0.3420739271814292,130316_fnca,0.76,-1.8265057648448564,0.07524542400925541,-2.58700018771042
186,Punishment,0.35,0.35,1,0.1264,0.3324326234883203,130316_fnca,0.28,-0.4620485149388372,0.35855150963144483,-1.0256829482832652
296,Reward,0.35,0.35,1,0.1328,0.3394942784379048,130316_fnca,0.76,-1.8474538153806264,0.07240489776527521,-2.6254813331868894
187,Punishment,0.35,0.4,1,0.1296,0.3359972549356013,130316_fnca,0.28,-0.4476227046224719,0.36091183456769116,-1.019121576051441
297,Reward,0.35,0.4,1,0.1296,0.3359972549356014,130316_fnca,0.76,-1.8762058044814238,0.06863088385522662,-2.679012643589566
