,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
195,Punishment,0.2,0.2,0.1,0.1944,0.3958964854880348,118932_fnca,0.4583333333333333,-0.6666725849005048,0.3194467451405804,-1.141164700933633
338,Reward,0.2,0.2,0.1,0.1712,0.3768343977540592,118932_fnca,0.52,-0.9256055234842021,0.25993821111773663,-1.3473113257569045
196,Punishment,0.2,0.25,0.1,0.1752,0.3802902267022124,118932_fnca,0.4583333333333333,-0.7445190895085555,0.3023733186563333,-1.1960928705259968
339,Reward,0.2,0.25,0.1,0.1552,0.3622401611465494,118932_fnca,0.52,-1.0070666898042124,0.24026082088035633,-1.4260301920612795
197,Punishment,0.2,0.3,0.1,0.2176,0.4127790562024571,118932_fnca,0.4583333333333333,-0.5832014238999085,0.33655271559968913,-1.089000483624113
340,Reward,0.2,0.3,0.1,0.2248,0.4176176284436153,118932_fnca,0.52,-0.706866712260583,0.31074929799653095,-1.1687688076557154
198,Punishment,0.2,0.35,0.1,0.128,0.3342235244434975,118932_fnca,0.4583333333333333,-0.9883605107790016,0.24478701260430089,-1.407366782838337
341,Reward,0.2,0.35,0.1,0.1424,0.3495997940686042,118932_fnca,0.52,-1.0800921694075747,0.22263133532082996,-1.5022380804124533
199,Punishment,0.2,0.4,0.1,0.1912,0.3934035753504011,118932_fnca,0.4583333333333333,-0.6790312800167106,0.3168013768844196,-1.1494802728252391
342,Reward,0.2,0.4,0.1,0.1864,0.389584985810459,118932_fnca,0.52,-0.8562958331312676,0.2764957551758522,-1.2855598101236585
200,Punishment,0.2,0.45,0.1,0.144,0.3512302523304645,118932_fnca,0.4583333333333333,-0.894949484697532,0.2672940747069316,-1.3194058232848618
343,Reward,0.2,0.45,0.1,0.1272,0.3333302375089758,118932_fnca,0.52,-1.1784109444599153,0.19923610301547062,-1.6132647102161275
201,Punishment,0.2,0.5,0.1,0.1528,0.3599386123267619,118932_fnca,0.4583333333333333,-0.8488484504573297,0.27825693121032546,-1.2792103791265776
344,Reward,0.2,0.5,0.1,0.1608,0.3674934028263593,118932_fnca,0.52,-0.9774325123592004,0.2474304636710417,-1.396625691313082
202,Punishment,0.2,0.55,0.1,0.2032,0.4025411674763345,118932_fnca,0.4583333333333333,-0.633806810202419,0.32634699249194865,-1.1197940695341553
345,Reward,0.2,0.55,0.1,0.1736,0.3789167485370068,118932_fnca,0.52,-0.9141849795171273,0.2626834400974914,-1.3368056215920376
203,Punishment,0.2,0.6,0.1,0.1648,0.3711484351694658,118932_fnca,0.4583333333333333,-0.7908785421641519,0.2918010725014709,-1.2316829674325198
346,Reward,0.2,0.6,0.1,0.1512,0.3583870994475673,118932_fnca,0.52,-1.0290548978143566,0.23494225356089532,-1.4484155245625305
204,Punishment,0.2,0.65,0.1,0.2232,0.4165580109194505,118932_fnca,0.4583333333333333,-0.5644671982524923,0.3401902897637797,-1.0782501421561819
347,Reward,0.2,0.65,0.1,0.2104,0.4077558728963997,118932_fnca,0.52,-0.7592778438746397,0.2990364055520561,-1.2071899553041334
205,Punishment,0.2,0.7,0.1,0.2328,0.422785001775348,118932_fnca,0.4583333333333333,-0.5334468639764407,0.3460329381300049,-1.0612213115478222
348,Reward,0.2,0.7,0.1,0.244,0.4296646242727936,118932_fnca,0.52,-0.6423614708032559,0.3245704501216517,-1.1252526627909338
206,Punishment,0.2,0.75,0.1,0.1576,0.3645113644701112,118932_fnca,0.4583333333333333,-0.8250314328896391,0.28385919221461237,-1.2592769658326382
349,Reward,0.2,0.75,0.1,0.1424,0.3495997940686035,118932_fnca,0.52,-1.080092169407577,0.22263133532082943,-1.5022380804124555
207,Punishment,0.2,0.8,0.1,0.2056,0.404301134707808,118932_fnca,0.4583333333333333,-0.625111610225843,0.3281380759800995,-1.1143207958242458
350,Reward,0.2,0.8,0.1,0.2032,0.4025411674763344,118932_fnca,0.52,-0.7870002513932314,0.29269527417218527,-1.2286232310511773
208,Punishment,0.25,0.2,0.1,0.2352,0.424293506884076,118932_fnca,0.4583333333333333,-0.5258938204639955,0.3474200583327187,-1.0572206884057813
351,Reward,0.25,0.2,0.1,0.2032,0.4025411674763347,118932_fnca,0.52,-0.7870002513932307,0.29269527417218544,-1.2286232310511767
209,Punishment,0.25,0.25,0.1,0.2856,0.4518805116371343,118932_fnca,0.4583333333333333,-0.38225444312154877,0.37083510991186625,-0.9919977628477553
352,Reward,0.25,0.25,0.1,0.272,0.4451679903493797,118932_fnca,0.52,-0.5570930645875122,0.3415999803775731,-1.0741148745104256
210,Punishment,0.25,0.3,0.1,0.2288,0.4202283111200072,118932_fnca,0.4583333333333333,-0.5462110173433414,0.3436568079375892,-1.0681117709382966
353,Reward,0.25,0.3,0.1,0.2464,0.4310866601587824,118932_fnca,0.52,-0.6346751715750721,0.32616730624833223,-1.1203448199115962
211,Punishment,0.25,0.35,0.1,0.2368,0.425288674155675,118932_fnca,0.4583333333333333,-0.5209010885915152,0.348329117828406,-1.0546075052525854
354,Reward,0.25,0.35,0.1,0.2576,0.4374875498628822,118932_fnca,0.52,-0.5997884970263536,0.33326688491759193,-1.0988116537872386
212,Punishment,0.25,0.4,0.1,0.1584,0.3652617868575231,118932_fnca,0.4583333333333333,-0.8211462138258872,0.2847683929410176,-1.2560790854449673
355,Reward,0.25,0.4,0.1,0.1432,0.3504168854305909,118932_fnca,0.52,-1.0752906485570455,0.22378633976842416,-1.4970635226417885
213,Punishment,0.25,0.45,0.1,0.2576,0.4374875498628822,118932_fnca,0.4583333333333333,-0.45883210481360526,0.3590829052149709,-1.0242019834085143
356,Reward,0.25,0.45,0.1,0.2552,0.4361480713153385,118932_fnca,0.52,-0.6071332591278331,0.33179302260190163,-1.103243930374265
214,Punishment,0.25,0.5,0.1,0.2584,0.4379302071027238,118932_fnca,0.4583333333333333,-0.4565415449554399,0.3594595504302825,-1.0231536243398227
357,Reward,0.25,0.5,0.1,0.248,0.4320246708846642,118932_fnca,0.52,-0.629593674460815,0.32721670188836244,-1.1171326306652078
215,Punishment,0.25,0.55,0.1,0.224,0.4170889240155258,118932_fnca,0.4583333333333333,-0.5618306309294621,0.34069577268373885,-1.0767653621299713
358,Reward,0.25,0.55,0.1,0.2072,0.4054623037272332,118932_fnca,0.52,-0.7714650588342489,0.29626003855009225,-1.216517701705738
216,Punishment,0.25,0.6,0.1,0.188,0.3908685489753077,118932_fnca,0.4583333333333333,-0.6916221170570852,0.3140795096737787,-1.1581091096059348
359,Reward,0.25,0.6,0.1,0.204,0.4031302658061872,118932_fnca,0.52,-0.7838657297736192,0.293416765035691,-1.2261612743614372
217,Punishment,0.25,0.65,0.1,0.1648,0.3711484351694655,118932_fnca,0.4583333333333333,-0.7908785421641524,0.2918010725014708,-1.2316829674325203
360,Reward,0.25,0.65,0.1,0.144,0.3512302523304642,118932_fnca,0.52,-1.070522819447314,0.22493403744213475,-1.4919480866833859
218,Punishment,0.25,0.7,0.1,0.192,0.3940307198259209,118932_fnca,0.4583333333333333,-0.6759202263493488,0.3174697917092417,-1.1473726093987502
361,Reward,0.25,0.7,0.1,0.1864,0.3895849858104585,118932_fnca,0.52,-0.8562958331312687,0.27649575517585195,-1.2855598101236594
219,Punishment,0.25,0.75,0.1,0.2264,0.4186684447307807,118932_fnca,0.4583333333333333,-0.5539785389903819,0.3421915386923444,-1.0723846440356317
362,Reward,0.25,0.75,0.1,0.228,0.4197105258871074,118932_fnca,0.52,-0.6957176005601095,0.3131885032016028,-1.1609500230692307
220,Punishment,0.25,0.8,0.1,0.2456,0.4306146574218638,118932_fnca,0.4583333333333333,-0.49402250867861913,0.3531128259910757,-1.0409676527452307
363,Reward,0.25,0.8,0.1,0.2328,0.4227850017753483,118932_fnca,0.52,-0.6793050812919023,0.31674247089184826,-1.1496662299391716
221,Punishment,0.3,0.2,0.1,0.2928,0.4552295543544225,118932_fnca,0.4583333333333333,-0.3636260689798186,0.37342037163501957,-0.9850504922255305
364,Reward,0.3,0.2,0.1,0.2824,0.4503470772548587,118932_fnca,0.52,-0.527593076540693,0.3471092314912306,-1.0581157604115095
222,Punishment,0.3,0.25,0.1,0.2824,0.4503470772548586,118932_fnca,0.4583333333333333,-0.3906616523543459,0.3696322093452382,-0.9952467965147866
365,Reward,0.3,0.25,0.1,0.2536,0.4352454375093417,118932_fnca,0.52,-0.6120684492971447,0.33079632460595987,-1.1062524265171783
223,Punishment,0.3,0.3,0.1,0.2744,0.4463900214397641,118932_fnca,0.4583333333333333,-0.4120462476739152,0.3664733085349836,-1.0038295883157493
366,Reward,0.3,0.3,0.1,0.268,0.4430948729709725,118932_fnca,0.52,-0.5687269597825131,0.33937020727744294,-1.0806637105964028
224,Punishment,0.3,0.35,0.1,0.208,0.4060392768137735,118932_fnca,0.4583333333333333,-0.6165249216719164,0.32989197627691824,-1.108990022725954
367,Reward,0.3,0.35,0.1,0.1888,0.3915062984747453,118932_fnca,0.52,-0.8459634015858997,0.27893804810619405,-1.2767655716160657
225,Punishment,0.3,0.4,0.1,0.272,0.4451679903493796,118932_fnca,0.4583333333333333,-0.41856857944142384,0.36548195890467544,-1.0065383610524785
368,Reward,0.3,0.4,0.1,0.2792,0.4487855688292923,118932_fnca,0.52,-0.536559142550314,0.34545724558418284,-1.0628863899318368
226,Punishment,0.3,0.45,0.1,0.2384,0.4262755079135059,118932_fnca,0.4583333333333333,-0.5159417542186338,0.3492258330041554,-1.0520364800777733
369,Reward,0.3,0.45,0.1,0.2104,0.4077558728964001,118932_fnca,0.52,-0.7592778438746389,0.29903640555205624,-1.207189955304133
227,Punishment,0.3,0.5,0.1,0.2376,0.4257831290908729,118932_fnca,0.4583333333333333,-0.5184172839460326,0.34877900761389685,-1.0533167733516635
370,Reward,0.3,0.5,0.1,0.228,0.4197105258871071,118932_fnca,0.52,-0.6957176005601099,0.31318850320160274,-1.160950023069231
228,Punishment,0.3,0.55,0.1,0.2512,0.4338768942078637,118932_fnca,0.4583333333333333,-0.4774011617085536,0.3559751094659132,-1.032894467805011
371,Reward,0.3,0.55,0.1,0.2448,0.4301406476740195,118932_fnca,0.52,-0.6397907323758886,0.32510579588588323,-1.1236046238217106
229,Punishment,0.3,0.6,0.1,0.2336,0.4232899473216944,118932_fnca,0.4583333333333333,-0.5309205539968544,0.3464984788057415,-1.059876850532836
372,Reward,0.3,0.6,0.1,0.2224,0.4160248806995668,118932_fnca,0.52,-0.7153418312375227,0.3088821393295495,-1.1747955009637987
230,Punishment,0.3,0.65,0.1,0.2768,0.4475958373654759,118932_fnca,0.4583333333333333,-0.4055742216054295,0.36744421865595306,-1.0011837578200977
373,Reward,0.3,0.65,0.1,0.2824,0.4503470772548585,118932_fnca,0.52,-0.5275930765406932,0.3471092314912305,-1.0581157604115095
231,Punishment,0.3,0.7,0.1,0.2248,0.4176176284436151,118932_fnca,0.4583333333333333,-0.5592037247174396,0.3411977915188405,-1.0752929360736017
374,Reward,0.3,0.7,0.1,0.2224,0.4160248806995665,118932_fnca,0.52,-0.7153418312375233,0.3088821393295494,-1.1747955009637991
232,Punishment,0.3,0.75,0.1,0.28,0.4491785937990609,118932_fnca,0.4583333333333333,-0.3970209974278301,0.36870759689771104,-0.9977513694039672
375,Reward,0.3,0.75,0.1,0.2728,0.4455771439301552,118932_fnca,0.52,-0.5547860866910825,0.3420383771939435,-1.072832334197675
233,Punishment,0.3,0.8,0.1,0.2752,0.4467937552470741,118932_fnca,0.4583333333333333,-0.40988337724653684,0.36679919814806805,-1.0029407246761861
376,Reward,0.3,0.8,0.1,0.256,0.4365964878403807,118932_fnca,0.52,-0.604677333310382,0.3322871175460323,-1.10175587191435
234,Punishment,0.35,0.2,0.1,0.296,0.4566736697824148,118932_fnca,0.4583333333333333,-0.35546900133453746,0.37451716648673644,-0.9821176386595594
377,Reward,0.35,0.2,0.1,0.2912,0.4544973204006831,118932_fnca,0.52,-0.5034133090120109,0.3514629379246046,-1.0456510130498837
235,Punishment,0.35,0.25,0.1,0.3264,0.4690832242331908,118932_fnca,0.4583333333333333,-0.28125783766623585,0.38347090854258065,-0.958491518829016
378,Reward,0.35,0.25,0.1,0.3296,0.4702560500430398,118932_fnca,0.52,-0.40488580632311655,0.3675467375952524,-1.0009047912856328
236,Punishment,0.35,0.3,0.1,0.3048,0.4605069090585201,118932_fnca,0.4583333333333333,-0.3334007162828965,0.3773747505331262,-0.974516552013647
379,Reward,0.35,0.3,0.1,0.3008,0.4587894399396744,118932_fnca,0.52,-0.4777790875675393,0.35591086401433697,-1.0330749614631078
237,Punishment,0.35,0.35,0.1,0.3904,0.4880352269110961,118932_fnca,0.4583333333333333,-0.13919760211430088,0.3950959945529765,-0.9286265194218583
380,Reward,0.35,0.35,0.1,0.3688,0.4826727031339977,118932_fnca,0.52,-0.3132557507774051,0.3798407793028033,-0.9680031159022305
238,Punishment,0.35,0.4,0.1,0.292,0.4548642887905947,118932_fnca,0.4583333333333333,-0.36567683467872325,0.37314122678308376,-0.9857983069149977
381,Reward,0.35,0.4,0.1,0.2944,0.4559549933543572,118932_fnca,0.52,-0.49478567685005953,0.35297961689868046,-1.0413449662126584
239,Punishment,0.35,0.45,0.1,0.2824,0.4503470772548588,118932_fnca,0.4583333333333333,-0.39066165235434575,0.36963220934523827,-0.9952467965147865
382,Reward,0.35,0.45,0.1,0.272,0.4451679903493796,118932_fnca,0.52,-0.5570930645875124,0.34159998037757305,-1.0741148745104256
240,Punishment,0.35,0.5,0.1,0.3224,0.4675822350316718,118932_fnca,0.4583333333333333,-0.2907153504754641,0.38243512776807004,-0.9611962407057085
383,Reward,0.35,0.5,0.1,0.3368,0.4728050292420133,118932_fnca,0.52,-0.38747472778303715,0.3700908120299869,-0.994006865539942
241,Punishment,0.35,0.55,0.1,0.2936,0.4555931211878194,118932_fnca,0.4583333333333333,-0.3615799398020796,0.37369752718011906,-0.9843085596383104
384,Reward,0.35,0.55,0.1,0.3048,0.4605069090585205,118932_fnca,0.52,-0.4673111212163219,0.35767576933072304,-1.0281283752109005
242,Punishment,0.35,0.6,0.1,0.2536,0.4352454375093414,118932_fnca,0.4583333333333333,-0.47038593788576877,0.35716050711331154,-1.0295699984850097
385,Reward,0.35,0.6,0.1,0.2592,0.4383709562416527,118932_fnca,0.52,-0.5949299247284842,0.3342355346838631,-1.0959093408733926
243,Punishment,0.35,0.65,0.1,0.2928,0.4552295543544224,118932_fnca,0.4583333333333333,-0.36362606897981864,0.37342037163501957,-0.9850504922255305
386,Reward,0.35,0.65,0.1,0.2992,0.4580908619370529,118932_fnca,0.52,-0.4820004465191461,0.3551905942286011,-1.0351007484270007
244,Punishment,0.35,0.7,0.1,0.2752,0.4467937552470738,118932_fnca,0.4583333333333333,-0.40988337724653706,0.366799198148068,-1.0029407246761861
387,Reward,0.35,0.7,0.1,0.2848,0.4514997692505574,118932_fnca,0.52,-0.5209304987916329,0.3483237813843881,-1.0546228254903223
245,Punishment,0.35,0.75,0.1,0.2176,0.4127790562024573,118932_fnca,0.4583333333333333,-0.5832014238999081,0.33655271559968913,-1.089000483624113
388,Reward,0.35,0.75,0.1,0.2208,0.4149519346701124,118932_fnca,0.52,-0.7210473671796822,0.3076190272749284,-1.1788931860630483
246,Punishment,0.35,0.8,0.1,0.3208,0.4669708871520345,118932_fnca,0.4583333333333333,-0.29452228632950256,0.3820093394787991,-0.9623102217770514
389,Reward,0.35,0.8,0.1,0.2992,0.4580908619370528,118932_fnca,0.52,-0.4820004465191462,0.3551905942286011,-1.0351007484270007
247,Punishment,0.4,0.2,0.1,0.2912,0.4544973204006826,118932_fnca,0.4583333333333333,-0.36773227438610506,0.3728600816181532,-0.9865520460172614
390,Reward,0.4,0.2,0.1,0.2872,0.4526367904305184,118932_fnca,0.52,-0.5143196596515629,0.34951776482053754,-1.0512008893567224
248,Punishment,0.4,0.25,0.1,0.34,0.4738983685675493,118932_fnca,0.4583333333333333,-0.24970192172431185,0.386696915038734,-0.9501140580610797
391,Reward,0.4,0.25,0.1,0.3184,0.4660420540647865,118932_fnca,0.52,-0.4325789877579905,0.3633092701629732,-1.0125008235295365
249,Punishment,0.4,0.3,0.1,0.3032,0.4598248700634873,118932_fnca,0.4583333333333333,-0.3373748212268603,0.3768720955475314,-0.9758494182036005
392,Reward,0.4,0.3,0.1,0.2744,0.446390021439764,118932_fnca,0.52,-0.5501915101234882,0.3429077281624402,-1.0702938821106547
250,Punishment,0.4,0.35,0.1,0.3472,0.4762705396111765,118932_fnca,0.4583333333333333,-0.23334076767389744,0.3882279972610996,-0.9461624901339946
393,Reward,0.4,0.35,0.1,0.3632,0.4811142657928565,118932_fnca,0.52,-0.32591010316769564,0.3783077614583628,-0.9720472308780617
251,Punishment,0.4,0.4,0.1,0.3352,0.4722492726308852,118932_fnca,0.4583333333333333,-0.2607380052643841,0.38560926582731614,-0.9529306868992976
394,Reward,0.4,0.4,0.1,0.32,0.466662854077224,118932_fnca,0.52,-0.42857492995768576,0.3639361755923614,-1.0107767684987903
