,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
321,Reward,0.1,0.65,0.1,0.192,0.3940307198259205,113215_fnca,0.56,-0.9339373340296396,0.2579323326137731,-1.3550580051518681
179,Punishment,0.1,0.7,0.1,0.1544,0.3614763783952003,113215_fnca,0.1739130434782608,-0.05398151758875731,0.39836144389565675,-0.9203955353252652
322,Reward,0.1,0.7,0.1,0.1456,0.352845915651795,113215_fnca,0.56,-1.1744503241152704,0.20016658880551233,-1.6086053151119044
180,Punishment,0.1,0.75,0.1,0.1224,0.3278783972675169,113215_fnca,0.1739130434782608,-0.15711020886878124,0.3940488699105156,-0.9312803420700687
323,Reward,0.1,0.75,0.1,0.1304,0.3368777661162024,113215_fnca,0.56,-1.2752399926916345,0.17692010142778006,-1.7320570526847525
181,Punishment,0.1,0.8,0.1,0.1464,0.3536482626494014,113215_fnca,0.1739130434782608,-0.07779776230807217,0.39773680790511184,-0.9219647791147444
324,Reward,0.1,0.8,0.1,0.152,0.3591645853358704,113215_fnca,0.56,-1.1359694598465533,0.20926542847832094,-1.5641518400567076
182,Punishment,0.15,0.2,0.1,0.1528,0.3599386123267619,113215_fnca,0.1739130434782608,-0.05865734532280142,0.3982565532206876,-0.9206588752848318
325,Reward,0.15,0.2,0.1,0.144,0.3512302523304643,113215_fnca,0.56,-1.1844082257714958,0.19782945539451738,-1.620349955842264
183,Punishment,0.15,0.25,0.1,0.1536,0.3607092026870429,113215_fnca,0.1739130434782608,-0.05631418141522923,0.3983102014203635,-0.9205241767189064
326,Reward,0.15,0.25,0.1,0.1592,0.3660089206891269,113215_fnca,0.56,-1.0950552769188466,0.2190376682184598,-1.5185115629585786
184,Punishment,0.15,0.3,0.1,0.1312,0.3377540854790749,113215_fnca,0.1739130434782608,-0.12646195949836123,0.3957649332812251,-0.9269348468047552
327,Reward,0.15,0.3,0.1,0.1288,0.335112518895156,113215_fnca,0.56,-1.2867319950374823,0.1743347204837469,-1.7467781467312422
185,Punishment,0.15,0.35,0.1,0.1944,0.3958964854880345,113215_fnca,0.1739130434782608,0.051748265702546564,0.39840847747065344,-0.9202774747062834
328,Reward,0.15,0.35,0.1,0.196,0.3971273953462635,113215_fnca,0.56,-0.9165824475106307,0.2621075863075022,-1.3390002247469617
186,Punishment,0.15,0.4,0.1,0.152,0.3591645853358703,113215_fnca,0.1739130434782608,-0.06101114745978917,0.3982004675229875,-0.9207997132618527
329,Reward,0.15,0.4,0.1,0.156,0.3630005723582621,113215_fnca,0.56,-1.1129459035708453,0.21475384250792304,-1.5382628253422352
187,Punishment,0.15,0.45,0.1,0.148,0.355242111194679,113215_fnca,0.1739130434782608,-0.07294474011291979,0.3978823180310356,-0.9215990007597434
330,Reward,0.15,0.45,0.1,0.1368,0.3437736235422884,113215_fnca,0.56,-1.2310426717422118,0.18699534358925882,-1.6766715630297742
188,Punishment,0.15,0.5,0.1,0.1784,0.3830023402462537,113215_fnca,0.1739130434782608,0.011715219595927999,0.3989149046508007,-0.919007156389763
331,Reward,0.15,0.5,0.1,0.1632,0.3696959562668546,113215_fnca,0.56,-1.0733144176280391,0.2242619585161234,-1.494940452748781
189,Punishment,0.15,0.55,0.1,0.1392,0.3462936549178302,113215_fnca,0.1739130434782608,-0.10024163880940196,0.3969429440901903,-0.92396272628027
332,Reward,0.15,0.55,0.1,0.1536,0.3607092026870429,113215_fnca,0.56,-1.1266693418759246,0.21147881813646308,-1.553630436166237
190,Punishment,0.15,0.6,0.1,0.2272,0.4191905731159416,113215_fnca,0.1739130434782608,0.12711869001644,0.3957319804645413,-0.9270181138804205
333,Reward,0.15,0.6,0.1,0.2312,0.4217687412515031,113215_fnca,0.56,-0.7795741311325269,0.29440278090294153,-1.2228064461701897
191,Punishment,0.15,0.65,0.1,0.2528,0.4347912081859206,113215_fnca,0.1739130434782608,0.1814364114004956,0.3924296007883354,-0.9353981188956175
334,Reward,0.15,0.65,0.1,0.236,0.4247921358581739,113215_fnca,0.56,-0.7627259844287102,0.29825275021710834,-1.2098139968660453
192,Punishment,0.15,0.7,0.1,0.1384,0.3454575411395502,113215_fnca,0.1739130434782608,-0.1028000238788102,0.3968398597333635,-0.9242224556594145
